timestamp,open,high,low,close,volume
2023-01-02,99.9924,100.2671,99.1304,99.231,1074889
2023-01-03,99.2292,99.258,98.5295,99.1302,1088126
2023-01-04,99.0526,100.9027,98.8972,100.6972,1043797
2023-01-05,100.6257,101.4453,100.5431,100.6516,1027138
2023-01-06,100.8021,101.1313,100.3197,100.4137,1160266
2023-01-09,99.8894,101.2169,99.569,100.8879,1058080
2023-01-10,101.0776,101.4227,100.4354,100.8274,1005315
2023-01-11,100.9121,101.945,100.3124,101.7399,1067789
2023-01-12,101.7013,103.2459,101.2155,103.1611,1075352
2023-01-13,103.0276,103.5258,102.2475,102.6606,956854
2023-01-16,102.6839,104.1221,102.0095,103.8146,1116975
2023-01-17,103.8407,104.4838,103.7767,103.9808,869655
2023-01-18,103.8905,105.4995,103.4716,105.1752,1138561
2023-01-19,105.3983,106.4503,105.3172,106.2187,1067490
2023-01-20,106.3812,106.6188,105.2674,105.5502,1091844
2023-01-23,105.892,106.814,105.5544,106.1275,1006972
2023-01-24,105.9445,107.4892,105.4549,107.3808,1131531
2023-01-25,107.1929,107.8406,107.0381,107.8259,1062680
2023-01-26,107.621,108.7429,106.9342,107.8534,928091
2023-01-27,107.8822,109.8834,106.9322,109.5494,954363
2023-01-30,109.5004,109.9657,109.0125,109.3004,1140492
2023-01-31,109.0747,109.4367,108.4366,108.9049,838549
2023-02-01,108.9299,109.2662,108.1887,108.7195,1097595
2023-02-02,109.0572,110.9635,108.8908,110.3853,1016104
2023-02-03,110.2614,113.0204,109.691,112.5163,984509
2023-02-06,112.5983,114.0161,111.5876,114.0126,1190342
2023-02-07,113.3662,113.6078,113.0821,113.458,1206358
2023-02-08,113.9226,114.3427,111.7944,112.0788,955325
2023-02-09,112.3081,113.1306,111.8734,113.1299,1126843
2023-02-10,112.9143,114.1392,111.8879,113.3688,1035562
2023-02-13,113.3587,113.5076,111.8878,112.2641,997238
2023-02-14,112.2115,113.0411,110.0039,110.1795,1199074
2023-02-15,110.5664,111.064,109.6383,110.0165,987811
2023-02-16,110.0242,110.8088,109.3189,110.4758,1052579
